SNP	CHR	BP	P	POS	GENEID	NEIGHBORGENE	FUNCTION
Chr5_4034765	5	4034765	1.844353e-05	96205611	AT5G12430	NA	Heat shock protein DnaJ with tetratricopeptide repeat (EC Heat shock protein DnaJ with tetratricopeptide repeat)
Chr1_5876400	1	5876400	1.111386e-05	5876400	AT1G17190	NA	glutathione S-transferase tau 26 (EC glutathione S-transferase tau 26)
Chr3_15013923	3	15013923	1.151285e-05	65139883	NA	NA	NA
Chr5_10508581	5	10508581	1.537872e-05	102679427	NA	NA	NA
Chr2_16244664	2	16244664	1.323694e-05	46672335	AT2G38905	NA	Low temperature and salt responsive protein family (EC Low temperature and salt responsive protein family)
Chr5_12607870	5	12607870	1.438524e-05	104778716	AT5G33370	NA	GDSL-like Lipase/Acylhydrolase superfamily protein (EC GDSL-like Lipase/Acylhydrolase superfamily protein)
Chr4_9033065	4	9033065	1.341523e-05	82618855	AT4G15920	NA	Nodulin MtN3 family protein (EC Nodulin MtN3 family protein)
Chr5_3722700	5	3722700	2.563069e-05	95893546	NA	NA	NA
Chr3_14678637	3	14678637	5.373321e-06	64804597	NA	NA	NA
Chr1_12430821	1	12430821	5.278402e-05	12430821	AT1G34130	NA	staurosporin and temperature sensitive 3-like b (EC staurosporin and temperature sensitive 3-like b)
Chr1_9411635	1	9411635	1.406018e-05	9411635	AT1G27100	NA	Actin cross-linking protein (EC Actin cross-linking protein)
Chr5_13788980	5	13788980	1.681616e-05	105959826	AT5G35604	NA	NA
Chr5_10511926	5	10511926	2.020093e-05	102682772	NA	NA	NA
Chr2_1000315	2	1000315	1.299965e-05	31427986	AT2G03280	NA	O-fucosyltransferase family protein (EC O-fucosyltransferase family protein)
Chr5_8781909	5	8781909	8.963567e-05	100952755	AT5G25300	NA	NA
Chr5_13716646	5	13716646	1.581166e-05	105887492	NA	NA	NA
Chr5_24894865	5	24894865	4.945623e-05	117065711	AT5G61980	NA	ARF-GAP domain 1 (EC ARF-GAP domain 1)
Chr4_838956	4	838956	2.119508e-05	74424746	NA	NA	NA
Chr5_23913096	5	23913096	2.637515e-05	116083942	AT5G59270	NA	Concanavalin A-like lectin protein kinase family protein (EC Concanavalin A-like lectin protein kinase family protein)
Chr1_17762781	1	17762781	4.189864e-05	17762781	AT1G48090	NA	calcium-dependent lipid-binding family protein (EC calcium-dependent lipid-binding family protein)
Chr3_16138907	3	16138907	3.800945e-05	66264867	AT3G44550	NA	fatty acid reductase 5 (EC fatty acid reductase 5)
Chr5_17938579	5	17938579	7.521926e-05	110109425	AT5G44510	NA	target of AVRB operation1 (EC target of AVRB operation1)
Chr4_6389506	4	6389506	1.786867e-05	79975296	NA	NA	NA
Chr5_25750601	5	25750601	1.796888e-05	117921447	AT5G64400	NA	NA
Chr4_1115702	4	1115702	1.911602e-05	74701492	AT4G02530	NA	chloroplast thylakoid lumen protein (EC chloroplast thylakoid lumen protein)
Chr5_11150172	5	11150172	1.941747e-05	103321018	NA	NA	NA
Chr2_4051608	2	4051608	2.019111e-05	34479279	NA	NA	NA
Chr2_12815523	2	12815523	2.004070e-05	43243194	AT2G30020	NA	Protein phosphatase 2C family protein (EC Protein phosphatase 2C family protein)
Chr1_20106821	1	20106821	8.358362e-05	20106821	AT1G53850	NA	20S proteasome alpha subunit E1 (EC 20S proteasome alpha subunit E1)
Chr3_9674783	3	9674783	1.214746e-04	59800743	AT3G26430	NA	GDSL-like Lipase/Acylhydrolase superfamily protein (EC GDSL-like Lipase/Acylhydrolase superfamily protein)
Chr3_9676523	3	9676523	1.214746e-04	59802483	AT3G26430	NA	GDSL-like Lipase/Acylhydrolase superfamily protein (EC GDSL-like Lipase/Acylhydrolase superfamily protein)
Chr4_1131194	4	1131194	1.214746e-04	74716984	AT4G02560	NA	Homeodomain-like superfamily protein (EC Homeodomain-like superfamily protein)
Chr5_15070571	5	15070571	2.138939e-05	107241417	AT5G37860	NA	Heavy metal transport/detoxification superfamily protein (EC Heavy metal transport/detoxification superfamily protein)
Chr2_4634878	2	4634878	2.228110e-05	35062549	AT2G11570	NA	NA
Chr1_26859804	1	26859804	1.120510e-04	26859804	AT1G71240	NA	Plant protein of unknown function (DUF639) (EC Plant protein of unknown function (DUF639))
Chr4_7971311	4	7971311	2.265340e-05	81557101	AT4G13730	NA	Ypt/Rab-GAP domain of gyp1p superfamily protein (EC Ypt/Rab-GAP domain of gyp1p superfamily protein)
Chr4_1891065	4	1891065	4.734855e-05	75476855	AT4G03965	NA	RING/U-box superfamily protein (EC RING/U-box superfamily protein)
Chr1_5172411	1	5172411	2.344157e-05	5172411	AT1G15015	NA	F-box family protein (EC F-box family protein)
Chr5_8072518	5	8072518	5.537066e-05	100243364	AT5G23910	NA	ATP binding microtubule motor family protein (EC ATP binding microtubule motor family protein)
Chr1_9399019	1	9399019	2.487521e-05	9399019	AT1G27070	NA	5'-AMP-activated protein kinase-related (EC 5'-AMP-activated protein kinase-related)
Chr5_3210060	5	3210060	8.742949e-05	95380906	AT5G10220	NA	annexin 6 (EC annexin 6)
Chr5_3210088	5	3210088	8.742949e-05	95380934	AT5G10220	NA	annexin 6 (EC annexin 6)
Chr3_21068539	3	21068539	5.116543e-05	71194499	AT3G56900	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr1_17647903	1	17647903	2.674359e-05	17647903	AT1G47890	NA	receptor like protein 7 (EC receptor like protein 7)
Chr5_24583132	5	24583132	1.047136e-04	116753978	AT5G61110	NA	zinc ion binding (EC zinc ion binding)
Chr3_1483406	3	1483406	2.796210e-05	51609366	NA	NA	NA
Chr5_5089740	5	5089740	5.717849e-05	97260586	AT5G15640	NA	Mitochondrial substrate carrier family protein (EC Mitochondrial substrate carrier family protein)
Chr1_18099749	1	18099749	2.834060e-05	18099749	AT1G48920	NA	nucleolin like 1 (EC nucleolin like 1)
Chr1_13765122	1	13765122	7.838569e-05	13765122	AT1G36510	NA	Nucleic acid-binding proteins superfamily (EC Nucleic acid-binding proteins superfamily)
Chr5_10492293	5	10492293	3.445638e-05	102663139	AT5G28520	NA	Mannose-binding lectin superfamily protein (EC Mannose-binding lectin superfamily protein)
Chr5_10494603	5	10494603	3.445638e-05	102665449	AT5G28520	NA	Mannose-binding lectin superfamily protein (EC Mannose-binding lectin superfamily protein)
Chr5_10502526	5	10502526	3.445638e-05	102673372	NA	NA	NA
Chr5_10530657	5	10530657	3.445638e-05	102701503	NA	NA	NA
Chr5_10607323	5	10607323	3.445638e-05	102778169	NA	NA	NA
Chr2_11212600	2	11212600	3.498680e-04	41640271	NA	NA	NA
Chr4_14240311	4	14240311	5.332346e-05	87826101	AT4G28840	NA	NA
Chr4_16130663	4	16130663	1.608298e-04	89716453	AT4G33530	NA	K+ uptake permease 5 (EC K+ uptake permease 5)
Chr5_8073465	5	8073465	7.169386e-05	100244311	AT5G23910	NA	ATP binding microtubule motor family protein (EC ATP binding microtubule motor family protein)
Chr5_8066634	5	8066634	6.758744e-05	100237480	AT5G23900	NA	Ribosomal protein L13e family protein (EC Ribosomal protein L13e family protein)
Chr3_3062458	3	3062458	1.098632e-04	53188418	AT3G09960	NA	Calcineurin-like metallo-phosphoesterase superfamily protein (EC Calcineurin-like metallo-phosphoesterase superfamily protein)
Chr3_7517822	3	7517822	7.411971e-05	57643782	AT3G21340	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr4_4380246	4	4380246	3.722227e-05	77966036	NA	NA	NA
Chr5_16794746	5	16794746	6.143549e-05	108965592	AT5G41980	NA	NA
Chr3_15970628	3	15970628	2.110361e-05	66096588	AT3G44280	NA	NA
Chr2_10635106	2	10635106	3.914730e-05	41062777	NA	NA	NA
Chr3_7197423	3	7197423	5.807891e-05	57323383	AT3G20610	NA	non-race specific disease resistance protein, putative (EC non-race specific disease resistance protein, putative)
Chr1_9456960	1	9456960	9.498386e-05	9456960	NA	NA	NA
Chr1_20239895	1	20239895	4.381130e-05	20239895	NA	NA	NA
Chr3_3579211	3	3579211	4.522886e-05	53705171	AT3G11400	NA	eukaryotic translation initiation factor 3G1 (EC eukaryotic translation initiation factor 3G1)
Chr4_1115660	4	1115660	2.486915e-05	74701450	AT4G02530	NA	chloroplast thylakoid lumen protein (EC chloroplast thylakoid lumen protein)
Chr5_4989250	5	4989250	4.653737e-05	97160096	AT5G15360	NA	NA
Chr1_10191931	1	10191931	4.668104e-05	10191931	NA	NA	NA
Chr1_27069822	1	27069822	4.943080e-05	27069822	AT1G71920	NA	HISTIDINE BIOSYNTHESIS 6B (EC HISTIDINE BIOSYNTHESIS 6B)
Chr1_28461908	1	28461908	6.519050e-05	28461908	AT1G75810	NA	NA
Chr5_16845079	5	16845079	5.069599e-05	109015925	AT5G42140	NA	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain (EC Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain)
Chr5_16811467	5	16811467	5.087504e-05	108982313	AT5G42020	NA	Heat shock protein 70 (Hsp 70) family protein (EC Heat shock protein 70 (Hsp 70) family protein)
Chr2_5149535	2	5149535	9.204200e-04	35577206	NA	NA	NA
Chr3_14878952	3	14878952	6.553979e-05	65004912	AT3G42790	NA	alfin-like 3 (EC alfin-like 3)
Chr1_16529557	1	16529557	1.437114e-04	16529557	NA	NA	NA
Chr2_5914363	2	5914363	2.290879e-04	36342034	AT2G14050	NA	minichromosome maintenance 9 (EC minichromosome maintenance 9)
Chr4_1280285	4	1280285	1.686078e-04	74866075	AT4G02890	NA	Ubiquitin family protein (EC Ubiquitin family protein)
Chr3_10924353	3	10924353	5.314935e-05	61050313	AT3G28917	NA	mini zinc finger 2 (EC mini zinc finger 2)
Chr2_1707357	2	1707357	9.935160e-05	32135028	NA	NA	NA
Chr1_27116365	1	27116365	2.144653e-04	27116365	AT1G72040	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr4_10361363	4	10361363	2.665106e-04	83947153	AT4G18905	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr1_26245745	1	26245745	6.830467e-05	26245745	NA	NA	NA
Chr5_26837331	5	26837331	2.091897e-04	119008177	AT5G67260	NA	CYCLIN D3
Chr5_10030302	5	10030302	1.000112e-04	102201148	AT5G28020	NA	cysteine synthase D2 (EC cysteine synthase D2)
Chr2_7944769	2	7944769	1.376247e-04	38372440	NA	NA	NA
Chr3_11312214	3	11312214	5.995783e-05	61438174	AT3G29430	NA	Terpenoid synthases superfamily protein (EC Terpenoid synthases superfamily protein)
Chr5_8073594	5	8073594	1.177368e-04	100244440	AT5G23910	NA	ATP binding microtubule motor family protein (EC ATP binding microtubule motor family protein)
Chr1_9775194	1	9775194	2.014928e-04	9775194	AT1G28040	NA	RING/U-box superfamily protein (EC RING/U-box superfamily protein)
Chr2_4470820	2	4470820	6.262515e-05	34898491	NA	NA	NA
Chr1_5239114	1	5239114	6.304674e-05	5239114	AT1G15210	NA	pleiotropic drug resistance 7 (EC pleiotropic drug resistance 7)
Chr4_10594209	4	10594209	6.324090e-05	84179999	AT4G19420	NA	Pectinacetylesterase family protein (EC Pectinacetylesterase family protein)
Chr5_3337082	5	3337082	2.029493e-04	95507928	AT5G10550	NA	global transcription factor group E2 (EC global transcription factor group E2)
Chr1_22854767	1	22854767	6.401068e-05	22854767	NA	NA	NA
Chr3_19581319	3	19581319	1.192773e-04	69707279	AT3G52840	NA	beta-galactosidase 2 (EC beta-galactosidase 2)
Chr3_2681067	3	2681067	6.579756e-05	52807027	AT3G08820	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr5_7379992	5	7379992	2.885775e-04	99550838	AT5G22300	NA	nitrilase 4 (EC nitrilase 4)
Chr1_11221371	1	11221371	1.088533e-04	11221371	AT1G31340	NA	related to ubiquitin 1 (EC related to ubiquitin 1)
Chr4_11739659	4	11739659	6.921645e-05	85325449	AT4G22180	NA	F-box family protein with a domain of unknown function (DUF295) (EC F-box family protein with a domain of unknown function (DUF295))
Chr2_4777714	2	4777714	7.311709e-05	35205385	NA	NA	NA
Chr4_4629203	4	4629203	7.314763e-05	78214993	NA	NA	NA
Chr1_11082159	1	11082159	9.610576e-05	11082159	AT1G31050	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein (EC basic helix-loop-helix (bHLH) DNA-binding superfamily protein)
Chr5_19112153	5	19112153	1.365556e-04	111282999	NA	NA	NA
Chr1_24355497	1	24355497	1.696896e-04	24355497	AT1G65490	NA	NA
Chr2_7245395	2	7245395	9.823051e-05	37673066	AT2G16700	NA	actin depolymerizing factor 5 (EC actin depolymerizing factor 5)
Chr2_7409470	2	7409470	1.559857e-04	37837141	AT2G17043	NA	NA
Chr4_7847279	4	7847279	1.025931e-04	81433069	NA	NA	NA
Chr5_16449324	5	16449324	1.637797e-04	108620170	AT5G41100	NA	NA
Chr5_25086403	5	25086403	7.888095e-05	117257249	NA	NA	NA
Chr1_18757040	1	18757040	2.337273e-04	18757040	NA	NA	NA
Chr4_2407844	4	2407844	1.138859e-04	75993634	AT4G04740	NA	calcium-dependent protein kinase 23 (EC calcium-dependent protein kinase 23)
Chr2_11416534	2	11416534	2.112801e-04	41844205	AT2G26780	NA	ARM repeat superfamily protein (EC ARM repeat superfamily protein)
Chr4_11791065	4	11791065	6.853653e-05	85376855	AT4G22300	NA	carboxylesterases (EC carboxylesterases)
Chr1_16279468	1	16279468	2.415355e-04	16279468	AT1G43190	NA	polypyrimidine tract-binding protein 3 (EC polypyrimidine tract-binding protein 3)
Chr5_20250191	5	20250191	7.201639e-05	112421037	AT5G49820	NA	Protein of unknown function, DUF647 (EC Protein of unknown function, DUF647)
Chr1_12346822	1	12346822	1.673218e-04	12346822	AT1G33960	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr1_10830483	1	10830483	2.613835e-04	10830483	AT1G30570	NA	hercules receptor kinase 2 (EC hercules receptor kinase 2)
Chr3_1038150	3	1038150	6.877675e-05	51164110	NA	NA	NA
Chr5_9207045	5	9207045	1.522978e-04	101377891	AT5G26270	NA	NA
Chr4_8916201	4	8916201	1.594931e-04	82501991	AT4G15620	NA	Uncharacterised protein family (UPF0497) (EC Uncharacterised protein family (UPF0497))
Chr3_11017139	3	11017139	9.536799e-05	61143099	NA	NA	NA
Chr5_10656859	5	10656859	9.789369e-05	102827705	NA	NA	NA
Chr3_19825573	3	19825573	2.221095e-04	69951533	AT3G53480	NA	pleiotropic drug resistance 9 (EC pleiotropic drug resistance 9)
Chr2_18462910	2	18462910	1.015766e-04	48890581	AT2G44790	NA	uclacyanin 2 (EC uclacyanin 2)
Chr3_9950561	3	9950561	2.818714e-04	60076521	AT3G26980	NA	membrane-anchored ubiquitin-fold protein 4 precursor (EC membrane-anchored ubiquitin-fold protein 4 precursor)
Chr1_15583472	1	15583472	1.688713e-04	15583472	NA	NA	NA
Chr2_5392815	2	5392815	2.616685e-04	35820486	AT2G13100	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr5_3936307	5	3936307	6.735832e-05	96107153	AT5G12150	NA	Rho GTPase activation protein (RhoGAP) with PH domain (EC Rho GTPase activation protein (RhoGAP) with PH domain)
Chr5_7379954	5	7379954	4.315791e-04	99550800	AT5G22300	NA	nitrilase 4 (EC nitrilase 4)
Chr3_7759706	3	7759706	4.612933e-04	57885666	AT3G22030	NA	Receptor protein kinase-related (EC Receptor protein kinase-related)
Chr3_19425188	3	19425188	3.283022e-04	69551148	AT3G52390	NA	TatD related DNase (EC TatD related DNase)
Chr1_23442086	1	23442086	2.492892e-04	23442086	NA	NA	NA
Chr3_14990098	3	14990098	1.088090e-04	65116058	NA	NA	NA
Chr1_2528761	1	2528761	1.542564e-04	2528761	AT1G08100	NA	nitrate transporter 2.2 (EC nitrate transporter 2.2)
Chr4_7939524	4	7939524	1.005002e-03	81525314	AT4G13640	NA	Homeodomain-like superfamily protein (EC Homeodomain-like superfamily protein)
Chr3_12560202	3	12560202	1.576790e-04	62686162	NA	NA	NA
Chr2_619755	2	619755	1.417058e-04	31047426	AT2G02350	NA	SKP1 interacting partner 3 (EC SKP1 interacting partner 3)
Chr5_10497848	5	10497848	1.348911e-04	102668694	NA	NA	NA
Chr1_10976162	1	10976162	6.298344e-05	10976162	AT1G30840	NA	purine permease 4 (EC purine permease 4)
Chr5_8781349	5	8781349	4.558312e-04	100952195	AT5G25300	NA	NA
Chr1_5463559	1	5463559	2.385220e-04	5463559	AT1G15890	NA	Disease resistance protein (CC-NBS-LRR class) family (EC Disease resistance protein (CC-NBS-LRR class) family)
Chr1_20525366	1	20525366	1.141644e-04	20525366	AT1G55020	NA	lipoxygenase 1 (EC lipoxygenase 1)
Chr1_13967244	1	13967244	1.675602e-04	13967244	NA	NA	NA
Chr2_10843883	2	10843883	4.151304e-04	41271554	AT2G25480	NA	TPX2 (targeting protein for Xklp2) protein family (EC TPX2 (targeting protein for Xklp2) protein family)
Chr4_778748	4	778748	4.973695e-04	74364538	AT4G01800	NA	Albino or Glassy Yellow 1 (EC Albino or Glassy Yellow 1)
Chr5_17244709	5	17244709	9.491112e-05	109415555	AT5G42970	NA	Proteasome component (PCI) domain protein (EC Proteasome component (PCI) domain protein)
Chr5_12441967	5	12441967	1.192864e-04	104612813	NA	NA	NA
Chr1_25637119	1	25637119	8.487540e-04	25637119	AT1G68370	NA	Chaperone DnaJ-domain superfamily protein (EC Chaperone DnaJ-domain superfamily protein)
Chr5_8066816	5	8066816	2.332803e-04	100237662	AT5G23900	NA	Ribosomal protein L13e family protein (EC Ribosomal protein L13e family protein)
Chr2_11087047	2	11087047	1.218039e-04	41514718	AT2G26010	NA	plant defensin 1.3 (EC plant defensin 1.3)
Chr5_18508764	5	18508764	4.976808e-04	110679610	NA	NA	NA
Chr4_121871	4	121871	3.326338e-04	73707661	AT4G00280	NA	NA
Chr5_26618891	5	26618891	1.222482e-04	118789737	AT5G66675	NA	Protein of unknown function (DUF677) (EC Protein of unknown function (DUF677))
Chr5_18727408	5	18727408	6.480604e-05	110898254	AT5G46190	NA	RNA-binding KH domain-containing protein (EC RNA-binding KH domain-containing protein)
Chr5_24913464	5	24913464	2.913014e-04	117084310	AT5G62000	NA	auxin response factor 2 (EC auxin response factor 2)
Chr5_24931665	5	24931665	2.913014e-04	117102511	AT5G62050	NA	homolog of yeast oxidase assembly 1 (OXA1) (EC homolog of yeast oxidase assembly 1 (OXA1))
Chr5_24937937	5	24937937	2.913014e-04	117108783	NA	NA	NA
Chr4_9045646	4	9045646	1.267791e-04	82631436	AT4G15955	NA	alpha/beta-Hydrolases superfamily protein (EC alpha/beta-Hydrolases superfamily protein)
Chr3_11581386	3	11581386	1.280116e-04	61707346	AT3G29750	NA	Eukaryotic aspartyl protease family protein (EC Eukaryotic aspartyl protease family protein)
Chr1_17715329	1	17715329	2.016745e-04	17715329	NA	NA	NA
Chr2_13837874	2	13837874	5.197153e-04	44265545	AT2G32610	NA	cellulose synthase-like B1 (EC cellulose synthase-like B1)
Chr2_10687309	2	10687309	1.344846e-04	41114980	NA	NA	NA
Chr3_14158198	3	14158198	2.679872e-04	64284158	NA	NA	NA
Chr1_13438469	1	13438469	8.787448e-05	13438469	NA	NA	NA
Chr1_23456256	1	23456256	3.014064e-04	23456256	NA	NA	NA
Chr4_714215	4	714215	3.836907e-04	74300005	AT4G01670	NA	NA
Chr5_6771309	5	6771309	1.381768e-04	98942155	AT5G20040	NA	isopentenyltransferase 9 (EC isopentenyltransferase 9)
Chr2_1595339	2	1595339	3.318741e-04	32023010	AT2G04570	NA	GDSL-like Lipase/Acylhydrolase superfamily protein (EC GDSL-like Lipase/Acylhydrolase superfamily protein)
Chr3_20521009	3	20521009	1.904666e-04	70646969	AT3G55350	NA	PIF / Ping-Pong family of plant transposases (EC PIF / Ping-Pong family of plant transposases)
Chr5_10501894	5	10501894	1.781405e-04	102672740	NA	NA	NA
Chr1_23462583	1	23462583	1.465751e-04	23462583	NA	NA	NA
Chr5_24579362	5	24579362	3.840063e-04	116750208	AT5G61090	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (EC Polynucleotidyl transferase, ribonuclease H-like superfamily protein)
Chr2_12640011	2	12640011	2.075722e-04	43067682	AT2G29525	NA	Arabidopsis Inositol phosphorylceramide synthase 3 (EC Arabidopsis Inositol phosphorylceramide synthase 3)
Chr5_21006434	5	21006434	3.718102e-04	113177280	NA	NA	NA
Chr1_30142899	1	30142899	1.518180e-04	30142899	AT1G80130	NA	Tetratricopeptide repeat (TPR)-like superfamily protein (EC Tetratricopeptide repeat (TPR)-like superfamily protein)
Chr5_10127954	5	10127954	1.525597e-04	102298800	NA	NA	NA
Chr1_15580082	1	15580082	2.307431e-04	15580082	NA	NA	NA
